"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 26 16:57:40 GMT 2023","Sun Mar 26 16:57:40 GMT 2023","2","","ru.avkalabin.LabelsTest","","ru.avkalabin.LabelsTest","testStaticLabels","Создание Issue для авторизованного пользователя",""
"passed","Sun Mar 26 16:57:38 GMT 2023","Sun Mar 26 16:57:40 GMT 2023","1884","","ru.avkalabin.AttachmentsTest","","ru.avkalabin.AttachmentsTest","testAnnotatedAttachments","testAnnotatedAttachments()",""
"passed","Sun Mar 26 16:57:34 GMT 2023","Sun Mar 26 16:57:38 GMT 2023","3984","","ru.avkalabin.AttachmentsTest","","ru.avkalabin.AttachmentsTest","testLambdaAttachments","testLambdaAttachments()",""
"passed","Sun Mar 26 16:57:40 GMT 2023","Sun Mar 26 16:57:40 GMT 2023","2","","ru.avkalabin.LabelsTest","","ru.avkalabin.LabelsTest","testDynamicLabels","Создание Issue для авторизованного пользователя",""
"passed","Sun Mar 26 16:57:46 GMT 2023","Sun Mar 26 16:57:48 GMT 2023","2383","","ru.avkalabin.StepsTest","","ru.avkalabin.StepsTest","testLambdaTest","testLambdaTest()",""
"passed","Sun Mar 26 16:57:40 GMT 2023","Sun Mar 26 16:57:43 GMT 2023","3612","","ru.avkalabin.SelenideTest","","ru.avkalabin.SelenideTest","testIssueSearch","testIssueSearch()",""
"passed","Sun Mar 26 16:57:43 GMT 2023","Sun Mar 26 16:57:46 GMT 2023","2323","","ru.avkalabin.StepsTest","","ru.avkalabin.StepsTest","testAnnotatedStep","testAnnotatedStep()",""
